dissimilarity_used,k,n,time_results,iterations,assignments,cost_calculations,cluster_calculations
manhattan_distance,6,449,0.10006520000024466,5,2245,188886,2292
manhattan_distance,6,493,0.11618660000021919,5,2465,227202,2510
manhattan_distance,6,542,0.19251779999831342,7,3794,379416,3860
manhattan_distance,6,596,0.10537219999969238,3,1788,193704,1813
manhattan_distance,6,655,0.16428880000239587,4,2620,311130,2657
manhattan_distance,6,720,0.22672769999917364,4,2880,440876,2917
manhattan_distance,6,792,0.23502240000016172,4,3168,444842,3205
manhattan_distance,6,871,0.3418521999992663,4,3484,653800,3521
manhattan_distance,6,958,0.3355003000033321,4,3832,647484,3869
manhattan_distance,6,1053,0.40558819999932894,4,4212,780670,4247
manhattan_distance,6,1158,0.5767061000005924,4,4632,1085286,4669
manhattan_distance,6,1273,1.0135940000000119,6,7638,1943678,7690
manhattan_distance,6,1400,0.8622848000013619,4,5600,1649050,5634
manhattan_distance,6,1540,1.808237500001269,8,12320,3491288,12392
manhattan_distance,6,1694,1.5707552000021678,6,10164,3004370,10221
manhattan_distance,6,1863,2.9210387999992236,9,16767,5593066,16857
manhattan_distance,6,2049,1.540169200001401,4,8196,2931176,8232
manhattan_distance,6,2253,5.708210900000267,12,27036,10778756,27151
manhattan_distance,6,2478,4.6113273999981175,6,14868,8627884,14927
manhattan_distance,6,2725,7.298598400000628,10,27250,13961064,27347
manhattan_distance,6,2997,6.282434000000649,7,20979,11970974,21050
manhattan_distance,6,3296,5.932739400002902,6,19776,11430362,19833
manhattan_distance,6,3625,10.067969899999298,7,25375,19389160,25443
manhattan_distance,6,3987,11.843763700002455,8,31896,22778292,31970
manhattan_distance,6,4385,10.781866699999227,6,26310,20478592,26367
manhattan_distance,6,4823,12.514955700000428,6,28938,23828772,28994
manhattan_distance,6,5305,18.629941200000758,6,31830,33295514,31886
manhattan_distance,6,5835,35.064917600000626,8,46680,66705794,46757
manhattan_distance,6,6418,22.435791100000642,6,38508,43072276,38564
manhattan_distance,6,7059,24.377727200000663,5,35295,46795136,35344
manhattan_distance,6,7764,40.29451770000014,7,54348,76518952,54419
manhattan_distance,6,8540,81.9953620999986,11,93940,156449910,94039
manhattan_distance,6,9394,54.89140059999772,6,56364,104151326,56420
manhattan_distance,6,10333,149.18194800000128,14,144662,281121962,144799
manhattan_distance,7,100,0.006042600001819665,4,400,10218,433
